,X2015.M11,X2015.M11r1,X2015.M11r10,X2015.M11r2,X2015.M11r3,X2015.M11r4,X2015.M11r5,X2015.M11r6,X2015.M11r7,X2015.M11r8,X2015.M11r9,X2015.M24,X2015.M24r1,X2015.M24r10,X2015.M24r11,X2015.M24r12,X2015.M24r2,X2015.M24r4,X2015.M24r5,X2015.M24r6,X2015.M24r7,X2015.M24r8,X2015.M24r9,X2015.M7,X2015.M7r1,X2015.M7r10,X2015.M7r11,X2015.M7r2,X2015.M7r3,X2015.M7r4,X2015.M7r5,X2015.M7r6,X2015.M7r7,X2015.M7r8,X2015.M7r9,X2015.M9,X2015.M9r1,X2015.M9r10,X2015.M9r11,X2015.M9r12,X2015.M9r2,X2015.M9r4,X2015.M9r5,X2015.M9r6,X2015.M9r7,X2015.M9r8,X2015.M9r9,X2016.11C,X2016.11L,X2016.11R,X2016.11r1,X2016.11r10,X2016.11r11,X2016.11r12,X2016.11r2,X2016.11r3,X2016.11r4,X2016.11r5,X2016.11r6,X2016.11r7,X2016.11r8,X2016.11r9,X2016.24C,X2016.24L,X2016.24R,X2016.24r1,X2016.24r10,X2016.24r11,X2016.24r12,X2016.24r2,X2016.24r3,X2016.24r4,X2016.24r5,X2016.24r6,X2016.24r7,X2016.24r8,X2016.24r9,X2016.7C,X2016.7L,X2016.7R,X2016.7r1,X2016.7r10,X2016.7r11,X2016.7r12,X2016.7r2,X2016.7r3,X2016.7r4,X2016.7r5,X2016.7r6,X2016.7r7,X2016.7r8,X2016.7r9,X2016.9C,X2016.9L,X2016.9R,X2016.9r1,X2016.9r10,X2016.9r11,X2016.9r12,X2016.9r2,X2016.9r3,X2016.9r4,X2016.9r5,X2016.9r6,X2016.9r7,X2016.9r8,X2016.9r9,adjp.t,adjp.y,adjp.i,pval.t,pval.y,pval.i
sq11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.038779405471,85.8708909442652,73.1960422045107,83.6006830103087,115.71177471182,0,0,94.8552887877415,86.9654840243417,0,0,67.3740404244964,119.444018116832,94.438115350126,0,67.4122768098364,63.0775144407245,60.6842091633691,0,0,102.631880737146,72.1141580847904,67.1512301411622,0,297.840315378546,98.8713393210935,0,154.151514468169,0,100.386523646796,69.1527392292905,0,0,0,0,0,0,0,136.729040045708,308.064332895448,124.685915698168,0,93.5747903927956,53.4552971029822,116.840767314173,68.6904815353678,64.0700073043733,65.2807344543802,47.4345100053927,51.972879270114,0,0,78.0792572240173,0,115.277589143068,110.535075109917,70.6153415860479,84.3233817349572,81.4968100845086,302.650203576769,0.975059963903478,0,1,0.706077904895622,0,0.999912473345564
sq12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.254626889874,118.519719272033,117.516581521003,139.058561838929,196.823459926478,63.3064908179108,0,106.218161923773,145.667185740772,149.83063230865,117.205579557223,178.557801716153,111.505140779761,132.213361490176,0,39.5485357284374,41.3946188517255,42.3259610131062,0,0,0,73.5421612151823,61.5240320846402,73.9516803963437,0,75.2770424376507,0,71.0714454622719,125.772546592194,55.9367693952293,52.1714452765357,0,0,48.9545062601893,0,42.9758822063068,0,85.4466359096643,46.2965146881631,0,18.8041404185173,115.870800978617,53.3020957933646,82.9963823441039,59.8452710633571,67.8209817690973,46.1304052591488,46.1242796144908,41.9287186654811,66.7619099567318,0,0,27.6429668432856,95.9403490436122,0,82.7158447970181,107.965604904288,57.493214819289,52.0555540853929,523.518091113493,1,0,1,0.95473775947836,0,0.999947484837617
sq13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2407431296892,45.38566903815,0,0,51.3159403685729,0,0,0,0,0,0,52.6908992220292,131.114237760202,0,42.3509379303643,296.577079729412,317.112053295574,0,0,0,0,0,38.889072338057,0,46.8657038123046,0,46.9848103660029,0,0,0,0,37.1969996891055,0,0,0,0,0,0,160.471643977566,0,0,0,44.3752264334497,0,NA,NA,NA,NA,NA,NA
sq14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.866437446115,0,44.5484945737617,43.3458636881208,0,0,0,0,68.651816289568,80.9360057671095,0,0,104.597390583114,60.5332656178661,256.886784352396,0,44.8060647669072,0,0,0,0,0,0,0,41.3582197880924,0,40.7905199847836,0,0,0,0,0,0,54.307619546094,84.2809597417246,0,0,0,106.207188397887,0,0,41.914307004767,0,0,0,0,NA,NA,NA,NA,NA,NA
sq15,0,0,0,0,0,33.3397673352996,62.0672036817164,0,0,0,0,0,0,29.9880657382297,22.0918158586476,38.3395729727022,45.2811160144732,0,25.7752823096434,22.0032049151184,28.0652350768224,44.5085113622754,36.2523891611948,0,36.8166041973184,0,42.9266959926999,22.4995602169718,31.2363247119528,54.2688279511998,30.1576362034109,43.5234602704284,0,0,0,35.9169584265667,26.2433201992546,0,0,46.8133547551628,32.9910232065513,21.9098313545699,36.5016332488623,37.1983415087276,26.4135835529991,16.8029654832086,47.2131583654107,20.1686321858679,12.9700824863734,16.7880830744291,0,0,0,0,22.2317083096269,19.1324064853552,44.949189692595,0,0,12.2691740663815,0,0,39.5485357284374,31.9329916856168,34.421715281743,0,0,0,21.4200469558783,37.139507173045,25.8830881387203,0,34.8296763517489,0,4.65640504752816,0,0,34.1671818085548,0,0,0,0,79.8123526688555,0,0,62.9632599759018,111.036737872885,43.1048757286011,43.1147166432062,20.5311776389256,17.5839793101915,53.0058115132592,0,33.3164037982741,30.1295697481755,47.4345100053927,27.4653427037188,0,0,0,52.0354435490778,22.2695342662744,0,19.2587295234676,28.4728301962193,33.2814198250873,185.818323519561,1,1,0.445402197575511,0.911801832056204,0.930694665535365,0.145393252092241
sq16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3094294418017,0,0,59.3971992339038,0,0,0,0,0,0,0,0,0,0,49.6819903977924,49.4518818879309,0,0,241.130979829537,0,0,39.2662529880624,0,0,0,0,0,0,0,0,0,0,308.361262880475,0,0,0,0,0,0,0,0,252.06757593351,0,0,51.2051208319624,0,55.6710778286252,76.666149792435,0,0,0,38.4988946782242,47.4345100053927,0,0,0,103.297402414383,0,59.9312466283562,0,0,0,0,0,NA,NA,NA,NA,NA,NA
sq17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9943760712908,0,0,0,0,0,0,0,0,0,0,66.0464731254916,0,0,0,0,0,35.6965936255112,0,0,51.8046636101784,49.9801095637161,0,0,196.991450126216,0,0,32.839909282567,0,0,35.5993391298714,29.0565382167329,35.9636658143639,0,0,109.632352567109,0,0,68.8274851697358,55.5183689364425,32.9795693493995,90.7205496034131,45.0106586699523,0,0,0,0,36.2670746968779,46.5874651838678,0,0,0,0,0,98.2479452923873,53.7838452716037,0,0,37.9749533901637,131.85312177885,NA,NA,1,NA,NA,1
sq18,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5521064333242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1786543638657,0,0,0,0,0,0,0,0,0,0,0,0,51.0395848608123,0,0,49.4976660282532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3751441449266,17.3383454752483,0,0,60.6016819590766,62.8321377372431,43.8921448408714,38.6192108736462,0,0,0,23.2820252376408,0,40.4542707233355,21.8915476258405,0,0,68.2504430342785,0,0,0,0,27.7779088128979,153.614735102337,49.1800595561221,65.5702982282095,44.6158283307422,0,33.0573878254735,0,0,29.5716147528389,52.9403013453044,0,0,0,0,121.958070818151,0,45.2526146423148,0,38.328809879526,37.5482685206113,238.670840688298,0.519375380998341,0.00251029771562135,0.552020467211827,0.214913950757934,0.00141204246503701,0.266492639343641
sq19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2676373259191,0,0,56.2300511178441,0,0,31.2216047255135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0660803664701,35.086867407653,18.3582481502629,0,0,29.8121177379328,29.2740641730337,35.2637744875377,43.9601655689376,154.634926720238,0,0,26.2229126360796,0,26.4700783745282,30.893679359831,0,0,137.93021471849,0,0,0,0,47.5310884131808,0,47.4442927482589,0,39.4830339210108,0,153.887839877204,0,32.6757037252304,30.8735097419576,69.8811977758018,34.2260424461726,0,0,0,0,0,0,0,39.9714731600771,31.1479954773253,114.606510913262,1,NA,NA,0.823075515014805,NA,NA
sq20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1839089039794,0,0,0,0,0,0,0,0,36.8832492010374,39.7114168227006,0,0,0,0,0,49.4976660282532,22.7543542609792,20.5732342887302,20.1456996893149,7.03570104542202,49.3476686270998,0,0,19.7615184974461,13.0448226036513,28.7175378591579,0,15.5989157633071,10.1040257017259,24.7900052794081,0,28.7625714388635,25.6252402415443,34.1667396129893,0,0,43.4963685028856,74.9701643455741,34.5134814133348,27.115616145326,0,26.9649107239346,0,32.3497613828272,122.373288576188,27.4689492565858,31.7120549720119,0,0,0,0,53.9391174630178,0,0,0,0,70.587850186434,0,25.663972048657,16.1772609653762,14.8188290252122,27.8239925206553,28.1908032139243,32.5473747279673,12.705672322873,39.296567253013,0,0,0,50.4093359381691,0,42.6561531464443,23.9275124382476,36.1385921721245,23.0409829558297,0,0.674790857663457,3.8621545326935e-09,0.230976131899419,0.399163553310731,1.68969260805341e-09,0.0557528594239977
